match_id,team_id,team_name,team,win,total_kills,total_deaths,avg_gpm,avg_xpm,players,synergy_score,activity,recent_winrate
8786985347,8629005,Flawless Goblins,dire,1,28,25,525.2,753.8,"[928499811, 1185918470, 1200963940, 1227183303, 1228355759]",0.9158883083359671,3,0.3333333333333333
8786985982,10128850,Kiba Arms,radiant,0,33,41,456.8,647.2,"[130433320, 297111049, 339941742, 1591533176, 1914262504]",0.0,0,0.0
8786985982,9593609,Nethercore,dire,1,41,33,583.0,852.0,"[236214375, 1029972951, 1246531472, 1695617010, 1712916118]",0.0,0,0.0
8787002836,10108166,Mideng dreamer,radiant,1,30,17,469.2,651.4,"[139031324, 179313961, 191597529, 373667079, 1112797393]",1.0295836866004329,2,1.0
8787002836,9885310,Roar,dire,0,17,31,392.4,512.8,"[135607261, 137895298, 164530809, 165178538, 1101855381]",1.0295836866004329,2,1.0
8787032532,9928636,Team Lynx,radiant,1,28,11,538.8,640.2,"[40805086, 148612029, 276449590, 293731272, 1048617659]",0.879583686600433,2,0.5
8787032532,9895247,Rune Eaters,dire,0,11,28,414.4,506.2,"[104334048, 234119750, 435139370, 1153798101, 1675517497]",0.879583686600433,2,0.5
8787054928,8255888,BetBoom Team,radiant,1,42,19,620.8,850.8,"[165564598, 172099728, 196878136, 317880638, 480412663]",0.0,0,0.0
8787054928,9467224,Aurora Gaming,dire,0,19,42,505.4,678.6,"[124801257, 126842529, 256156323, 301750126, 320219866]",1.0295836866004329,2,1.0
8787059435,9593609,Nethercore,radiant,1,38,31,542.0,776.0,"[236214375, 1029972951, 1246531472, 1695617010, 1712916118]",0.9079441541679836,1,1.0
8787059435,10128850,Kiba Arms,dire,0,31,39,403.2,493.6,"[130433320, 297111049, 339941742, 1591533176, 1914262504]",0.6079441541679836,1,0.0
8787101805,7574873,WARRIORS OF ANGELI,radiant,0,6,50,275.8,331.8,"[299684897, 910650066, 1011788948, 1059448007, 1255463100]",0.0,0,0.0
8787101805,9878091,Tabakerka,dire,1,50,6,487.0,564.6,"[1100410934, 1237655567, 1674814676, 1684227676, 1901956790]",0.0,0,0.0
8787103217,10068848,NotChainedAnymore,radiant,0,54,62,550.6,911.8,"[401783259, 911497590, 1164530934, 1356477602, 1588360388]",0.0,0,0.0
8787103217,9938134,Mellstroy Team,dire,1,62,57,533.6,848.8,"[822126700, 907488123, 1201526302, 1477866898, 1761822380]",0.0,0,0.0
8787110874,10122751,Team WL,radiant,0,30,37,351.0,446.8,"[1109074446, 1139947395, 1190513392, 1608039572, 1845098523]",0.0,0,0.0
8787110874,10122742,BLACK_TERIC,dire,1,35,32,456.0,664.2,"[765506644, 802071176, 1168820938, 1467563224, 1548318766]",0.0,0,0.0
8787113950,10108695,Жирные Дети в Депрессии,radiant,1,31,31,499.0,671.2,"[934226621, 1038002385, 1190255390, 1419845583, 1877080548]",0.0,0,0.0
8787113950,9409580,james&jeremy,dire,0,31,32,427.4,533.8,"[903970158, 1128257501, 1128517675, 1129897627, 1207551738]",0.0,0,0.0
8787118133,9829263,5Prisoners,radiant,0,20,39,340.6,443.4,"[184794608, 1056223334, 1213834511, 1658979535, 1679311444]",0.0,0,0.0
8787118133,10047486,Dan+4,dire,1,39,20,538.6,729.4,"[771828773, 832070617, 1561853228, 1597478818, 1678963531]",0.0,0,0.0
8787185127,9467224,Aurora Gaming,radiant,0,4,28,433.4,496.4,"[124801257, 126842529, 256156323, 301750126, 320219866]",1.015888308335967,3,0.6666666666666666
8787185127,8255888,BetBoom Team,dire,1,28,5,528.8,660.8,"[165564598, 172099728, 196878136, 317880638, 480412663]",0.9079441541679836,1,1.0
8787205517,9729342,Elite Eclipse,radiant,1,58,51,635.6,914.0,"[297111049, 800862190, 1171975340, 1291449666, 1771146737]",0.0,0,0.0
8787205517,10115965,BloodyRose,dire,0,50,59,638.0,877.0,"[157998413, 236214375, 878549965, 1246531472, 1906005443]",0.0,0,0.0
8787228394,10108947,SouthAmericaRejects,radiant,1,35,13,507.6,637.8,"[157989498, 252737052, 352545711, 363758022, 1031547092]",0.0,0,0.0
8787228394,8680909,ALIS VENTORUS,dire,0,13,35,356.4,416.6,"[156485213, 187123736, 196481318, 349569834, 1114792376]",0.0,0,0.0
8787240152,10108233,ShIShUlI,radiant,1,31,7,476.0,633.6,"[28374516, 1176145421, 1217061603, 1583300284, 1676215765]",0.0,0,0.0
8787240152,10047486,Dan+4,dire,0,6,31,321.8,412.6,"[771828773, 832070617, 1561853228, 1597478818, 1678963531]",0.9079441541679836,1,1.0
8787244470,8262856,,radiant,0,21,57,352.0,441.6,"[199007937, 246591695, 462287602, 843928956, 1610965733]",0.0,0,0.0
8787244470,6410706,STARIY TINKER X2,dire,1,57,22,543.4,698.2,"[84425496, 1721136518, 1734606950, 1855759022, 1892899806]",0.0,0,0.0
8787244920,10108230,Vodka,radiant,1,36,7,499.8,603.2,"[417429939, 805943886, 879835905, 1068405226, 1698976044]",0.0,0,0.0
8787244920,10122742,BLACK_TERIC,dire,0,6,36,246.2,291.8,"[765506644, 802071176, 1168820938, 1467563224, 1548318766]",0.9079441541679836,1,1.0
8787247981,10008546,Team SuperNova,radiant,0,5,35,263.8,290.6,"[1116915549, 1218783836, 1473893800, 1747837619, 1916226597]",0.0,0,0.0
8787247981,9460620,Falanga Gaming,dire,1,35,6,505.4,587.2,"[182252335, 349179110, 881710243, 1187822061, 1234607002]",0.0,0,0.0
8787248346,10040534,Greyhound Team,radiant,1,65,50,568.8,919.6,"[165986663, 203539581, 332115891, 386379737, 793373771]",0.0,0,0.0
8787248346,10108695,Жирные Дети в Депрессии,dire,0,50,65,496.8,801.0,"[934226621, 1038002385, 1190255390, 1419845583, 1877080548]",0.9079441541679836,1,1.0
8787249326,10116420,22312,radiant,1,38,16,478.4,619.6,"[275467902, 834822170, 994927266, 1808803800, 1895435519]",0.0,0,0.0
8787249326,10075147,holesterin team,dire,0,15,39,322.2,353.4,"[821441738, 1137811176, 1211883286, 1517072924, 1861319925]",0.0,0,0.0
8787299097,8255888,BetBoom Team,radiant,1,41,20,573.8,839.6,"[165564598, 172099728, 196878136, 317880638, 480412663]",1.0295836866004329,2,1.0
8787299097,9467224,Aurora Gaming,dire,0,20,41,439.6,553.4,"[124801257, 126842529, 256156323, 301750126, 320219866]",1.03283137373023,4,0.5
8787325574,10108947,SouthAmericaRejects,radiant,1,36,12,527.4,683.2,"[157989498, 252737052, 352545711, 363758022, 1031547092]",0.9079441541679836,1,1.0
8787325574,8680909,ALIS VENTORUS,dire,0,12,36,407.4,449.6,"[156485213, 187123736, 196481318, 349569834, 1114792376]",0.6079441541679836,1,0.0
8787371252,10115965,BloodyRose,radiant,0,40,56,493.4,682.8,"[157998413, 236214375, 878549965, 1246531472, 1906005443]",0.6079441541679836,1,0.0
8787371252,9729342,Elite Eclipse,dire,1,56,42,619.8,984.8,"[297111049, 800862190, 1171975340, 1291449666, 1771146737]",0.9079441541679836,1,1.0
8787376047,10040534,Greyhound Team,radiant,1,54,24,515.4,734.6,"[165986663, 203539581, 332115891, 386379737, 793373771]",0.9079441541679836,1,1.0
8787376047,10116420,22312,dire,0,24,54,356.6,490.2,"[275467902, 834822170, 994927266, 1808803800, 1895435519]",0.9079441541679836,1,1.0
8787382184,9054352,Fortnite,radiant,1,37,3,588.8,547.0,"[1036639380, 1276893638, 1415129501, 1674401460, 1675506161]",0.0,0,0.0
8787382184,9878091,Tabakerka,dire,0,3,37,228.4,236.6,"[1100410934, 1237655567, 1674814676, 1684227676, 1901956790]",0.9079441541679836,1,1.0
8787391112,10108211,Vodka,radiant,0,19,40,405.2,553.4,"[417429939, 805943886, 879835905, 1068405226, 1698976044]",0.0,0,0.0
8787391112,10108233,ShIShUlI,dire,1,40,19,534.4,657.6,"[1176145421, 1217061603, 1243581822, 1583300284, 1676215765]",0.8279441541679837,1,1.0
8787493899,9828921,Air Defence,radiant,0,37,53,496.2,717.0,"[130433320, 236214375, 339941742, 347018598, 878549965]",0.0,0,0.0
8787493899,9397016,Elite Eclipse,dire,1,52,38,635.6,954.6,"[297111049, 800862190, 1000681260, 1291449666, 1771146737]",0.0,0,0.0
8787513051,10040534,Greyhound Team,radiant,1,33,32,534.0,689.4,"[165986663, 203539581, 332115891, 386379737, 793373771]",1.0295836866004329,2,1.0
8787513051,10087967,Gribbs,dire,0,31,34,427.0,544.4,"[62588261, 971401555, 1215555224, 1525063318, 1906259536]",0.0,0,0.0
8787553356,9600141,Zero Tenacity,radiant,0,17,47,410.2,517.0,"[72393079, 115464954, 116249155, 241519559, 349310876]",0.0,0,0.0
8787553356,7554697,Nigma Galaxy,dire,1,46,18,589.8,781.2,"[101356886, 138880576, 140297552, 152168157, 418942836]",0.0,0,0.0
8787601233,10108233,ShIShUlI,radiant,0,10,42,327.6,380.0,"[28374516, 1176145421, 1217061603, 1583300284, 1676215765]",0.989583686600433,2,1.0
8787601233,9054352,Fortnite,dire,1,42,10,544.4,692.0,"[1036639380, 1276893638, 1415129501, 1674401460, 1675506161]",0.9079441541679836,1,1.0
8787604704,9397016,Elite Eclipse,radiant,1,51,34,563.4,841.4,"[297111049, 800862190, 1000681260, 1291449666, 1771146737]",0.9079441541679836,1,1.0
8787604704,9530716,Air Defence,dire,0,30,51,459.0,656.0,"[130433320, 236214375, 347018598, 878549965, 1914262504]",0.0,0,0.0
8787657152,7554697,Nigma Galaxy,radiant,1,53,12,582.6,751.8,"[101356886, 138880576, 140297552, 152168157, 418942836]",0.9079441541679836,1,1.0
8787657152,9600141,Zero Tenacity,dire,0,11,54,379.0,500.0,"[72393079, 115464954, 116249155, 241519559, 349310876]",0.6079441541679836,1,0.0
8787724688,9729351,Dominion,radiant,0,19,41,481.2,541.2,"[130433320, 800862190, 1000681260, 1171975340, 1902169997]",0.0,0,0.0
8787724688,9684245,Shinigami Gaming,dire,1,41,19,566.4,797.6,"[297111049, 1634724608, 1771146737, 1811371866, 1914262504]",0.0,0,0.0
8787790036,9684245,Shinigami Gaming,radiant,0,42,49,542.0,788.8,"[297111049, 1634724608, 1771146737, 1811371866, 1914262504]",0.9079441541679836,1,1.0
8787790036,9729351,Dominion,dire,1,49,42,588.0,832.2,"[130433320, 800862190, 1000681260, 1171975340, 1902169997]",0.6079441541679836,1,0.0
8787799917,8850015,DARKNESS GAMING,radiant,1,35,28,494.2,684.2,"[222022666, 234162677, 328999660, 403346876, 1092522462]",0.0,0,0.0
8787799917,8849850,HELLBEAR HEROES,dire,0,27,37,439.2,561.4,"[192275954, 250144463, 338946567, 357479732, 406522933]",0.0,0,0.0
8787800786,10081473,F-150,radiant,1,37,20,532.2,693.0,"[96018998, 199482043, 206530993, 905945974, 1043196923]",0.0,0,0.0
8787800786,581153,Y2K,dire,0,19,37,350.6,404.6,"[91420774, 94374162, 107135108, 124719218, 125867450]",0.0,0,0.0
8787835970,8849850,HELLBEAR HEROES,radiant,0,24,31,441.8,578.8,"[192275954, 250144463, 338946567, 357479732, 406522933]",0.6079441541679836,1,0.0
8787835970,8850015,DARKNESS GAMING,dire,1,30,24,491.2,676.6,"[222022666, 234162677, 328999660, 403346876, 1092522462]",0.9079441541679836,1,1.0
8787854201,9729351,Dominion,radiant,0,25,43,441.8,587.8,"[130433320, 800862190, 1000681260, 1171975340, 1902169997]",0.879583686600433,2,0.5
8787854201,9684245,Shinigami Gaming,dire,1,42,26,574.0,769.2,"[297111049, 1634724608, 1771146737, 1811371866, 1914262504]",0.879583686600433,2,0.5
8787860006,10081473,F-150,radiant,1,70,21,564.0,742.4,"[96018998, 199482043, 206530993, 905945974, 1043196923]",0.9079441541679836,1,1.0
8787860006,581153,Y2K,dire,0,18,70,387.2,455.6,"[91420774, 94374162, 107135108, 124719218, 125867450]",0.6079441541679836,1,0.0
